Department of Water and Sanitation          SAFMAXLEVELFLOW Output 2025/05/10 22:47

Yearly Maximum Values for Hydrological Years  ordered by  DATE

D1H003   Orange River @ Aliwal-North

Hydro,,MAX,MAX,MAX
Year,Date,Time,Level (m),Flow (cumec)
1999,19981122, 08:48,  1.722,  770.313,M
2000,20000118, 08:00,  2.875, 1706.497,
2001,20010901, 18:12,  2.311, 1222.919,
2002,20011111, 15:00,  4.493, 3311.833,
2003,20030323, 21:40,  1.776,  809.317,
2004,20040927, 06:05,  4.002,  761.745,
2005,20050121, 17:30,  3.353,  487.277,
2006,20060210, 08:00,  5.435, 1858.083,
2007,20061103, 23:14,  7.003, 1929.500,M,A
2008,20071209, 15:52,  2.225, 1306.136,M
2009,20090216, 13:48,  3.589, 2256.779,
2010,20091013, 17:12,  5.117, 3436.409,
2011,20110126, 21:42,  5.204, 3508.119,
2012,20120624, 10:12,  1.927,  912.978,
2013,20121227, 01:36,  1.656,  616.378,
2014,20140312, 06:36,  2.588, 1547.300,
2015,20141129, 19:21,  1.905,  886.735,
2016,20160219, 14:36,  1.856,  829.660,Z
2017,20170223, 20:36,  2.927, 1740.579,
2018,20180325, 15:48,  2.898, 1722.159,
2019,20190314, 03:12,  2.777, 1649.159,Q
2020,20200223, 16:12,  1.876,  852.726,Q
2021,20210129, 06:00,  8.121, 5748.900,A
2022,20220118, 21:48,  3.226, 1951.019,S
2023,20230213, 17:20,  4.330, 2819.200,Q
2024,20240111, 17:44,  3.228, 1952.559,Q
2025,20250408, 16:44,  2.495, 1502.700,M


Explanation of codes:

$ ...  Gauge Plate Readings
A ...  Above Rating
E ...  Estimated Data
M ...  Missing Data
Q ...  Data Not Audited
S ...  Gap filled data
Z ...  No info for stage/disch determination
